GA | iter = 106 | Mean = 0.004590243 | Best = 0.004975000
GA | iter = 107 | Mean = 0.004600879 | Best = 0.004992969
GA | iter = 108 | Mean = 0.004617957 | Best = 0.004992969
GA | iter = 109 | Mean = 0.004627524 | Best = 0.005013812
GA | iter = 110 | Mean = 0.004646421 | Best = 0.005013812
GA | iter = 111 | Mean = 0.004655129 | Best = 0.005013812
GA | iter = 112 | Mean = 0.004652053 | Best = 0.005013812
GA | iter = 113 | Mean = 0.004652826 | Best = 0.005013812
GA | iter = 114 | Mean = 0.004653898 | Best = 0.005013812
GA | iter = 115 | Mean = 0.004656625 | Best = 0.005013812
GA | iter = 116 | Mean = 0.004664348 | Best = 0.005013812
GA | iter = 117 | Mean = 0.004661911 | Best = 0.005013812
GA | iter = 118 | Mean = 0.004669582 | Best = 0.005013812
GA | iter = 119 | Mean = 0.004665598 | Best = 0.005013812
GA | iter = 120 | Mean = 0.004661854 | Best = 0.005013812
GA | iter = 121 | Mean = 0.004669756 | Best = 0.005013812
GA | iter = 122 | Mean = 0.004669998 | Best = 0.005031699
GA | iter = 123 | Mean = 0.004676020 | Best = 0.005031699
GA | iter = 124 | Mean = 0.004673125 | Best = 0.005031699
GA | iter = 125 | Mean = 0.004674234 | Best = 0.005031699
GA | iter = 126 | Mean = 0.004681684 | Best = 0.005031699
GA | iter = 127 | Mean = 0.004688978 | Best = 0.005031699
GA | iter = 128 | Mean = 0.004694406 | Best = 0.005031699
GA | iter = 129 | Mean = 0.004700266 | Best = 0.005031699
GA | iter = 130 | Mean = 0.004703084 | Best = 0.005031699
GA | iter = 131 | Mean = 0.004697622 | Best = 0.005031699
GA | iter = 132 | Mean = 0.004704702 | Best = 0.005031699
GA | iter = 133 | Mean = 0.004698966 | Best = 0.005031699
GA | iter = 134 | Mean = 0.004712546 | Best = 0.005031699
GA | iter = 135 | Mean = 0.004713171 | Best = 0.005031699
GA | iter = 136 | Mean = 0.004710964 | Best = 0.005031699
GA | iter = 137 | Mean = 0.004714319 | Best = 0.005031699
GA | iter = 138 | Mean = 0.004716469 | Best = 0.005031699
GA | iter = 139 | Mean = 0.004720137 | Best = 0.005031699
GA | iter = 140 | Mean = 0.004715514 | Best = 0.005031699
GA | iter = 141 | Mean = 0.004718855 | Best = 0.005031699
GA | iter = 142 | Mean = 0.004728871 | Best = 0.005031699
GA | iter = 143 | Mean = 0.004729614 | Best = 0.005031699
GA | iter = 144 | Mean = 0.004736605 | Best = 0.005031699
