            [,1]        [,2]       [,3]       [,4]      [,5]       [,6]      [,7]       [,8]       [,9]     [,10]      [,11]      [,12]
 [1,] 0.34668349 0.952460715 0.61157231 0.12146114 0.1767421 0.34666878 0.8352915 0.01262455 0.24446620 0.3416168 0.09760954 0.17744299
 [2,] 0.01661221 0.603934682 0.24074741 0.15784927 0.3232683 0.43233003 0.5572158 0.08813992 0.28382899 0.8736538 0.11385354 0.24856935
 [3,] 0.07500087 0.252724691 0.91315927 0.56162740 0.4969469 0.63581537 0.1962116 0.21061075 0.03249574 0.6655323 0.19843871 0.32283003
 [4,] 0.89652730 0.161880870 0.55886645 0.21026413 0.7854429 0.19463433 0.4012892 0.38866283 0.76745327 0.0343222 0.20917089 0.07019085
 [5,] 0.98540214 0.067077471 0.13230826 0.27845229 0.1083422 0.39973329 0.2731425 0.76779552 0.39395075 0.3321968 0.35943386 0.69834261
 [6,] 0.25212142 0.005965387 0.08826949 0.57671535 0.8589544 0.13179143 0.2203166 0.02709137 0.44247392 0.2131993 0.79919079 0.35809142
 [7,] 0.06892715 0.091004969 0.45774390 0.61904471 0.6299876 0.20083602 0.3416814 0.88027698 0.06922479 0.2822745 0.46431487 0.29175313
 [8,] 0.84493962 0.516343643 0.67093248 0.62301561 0.1274059 0.01517472 0.3726045 0.64251882 0.06592387 0.2424520 0.82489642 0.12866568
 [9,] 0.40801983 0.122805906 0.91405186 0.71710627 0.3036674 0.38273764 0.7201115 0.17540015 0.21308123 0.3354257 0.61804550 0.07807357
[10,] 0.92122845 0.542199520 0.06917390 0.30385111 0.2281596 0.76849666 0.4002916 0.26343282 0.31174089 0.7929697 0.20837509 0.19662387
[11,] 0.82141406 0.977073181 0.48290692 0.02433586 0.2680544 0.20712040 0.4107360 0.26990682 0.74121831 0.4116743 0.35125822 0.34895684
           [,13]      [,14]      [,15]      [,16]      [,17]
 [1,] 0.67566662 0.35417422 0.27228977 0.36910943 0.73308222
 [2,] 0.04588559 0.35537664 0.09733855 0.73149958 0.29968931
 [3,] 0.88234035 0.05726628 0.23230400 0.10542886 0.32455880
 [4,] 0.53119170 0.19758853 0.08847315 0.82360452 0.01613789
 [5,] 0.27208108 0.19370625 0.39561332 0.56378640 0.15568155
 [6,] 0.32336065 0.33334136 0.80528198 0.24093440 0.18397053
 [7,] 0.11467811 0.85241808 0.27254294 0.06795331 0.09702230
 [8,] 0.15316948 0.20078831 0.39151858 0.16549351 0.60738857
 [9,] 0.14451471 0.86766451 0.12979812 0.22748548 0.50184442
[10,] 0.03249573 0.57797900 0.15955775 0.14168018 0.85877584
[11,] 0.69504015 0.16698430 0.17702607 0.38131364 0.53713013
